Event,Time Start,Time End
WL_Lecture-Focus_of_Activity-Education_Research_Theory_and_Results, 8:49:47 PM, 8:50:13 PM
WL_Lecture-Focus_of_Activity-Student_Experiences, 8:49:58 PM, 8:50:07 PM
WL_Lecture-Focus_of_Activity-IS_Description_and_Purpose, 8:50:14 PM, 8:50:18 PM
FP_Ind_Work-Focus_of_Activity-IS_Description_and_Purpose, 8:50:19 PM, 8:50:22 PM
WL_Lecture-Focus_of_Activity-IS_Description_and_Purpose, 8:50:23 PM, 8:50:41 PM
FP_Ind_Work-Focus_of_Activity-IS_Description_and_Purpose, 8:50:43 PM, 8:51:21 PM
LG_Closed_FPQ-Focus_of_Activity-Student_Experiences, 8:51:22 PM, 8:51:34 PM
LG_Closed_FPQ-Focus_of_Activity-WL_Pre_Workshop_Experiences, 8:51:32 PM, 8:52:14 PM
LG_Closed_FPQ-Focus_of_Activity-IS_Description_and_Purpose, 8:51:35 PM, 8:52:14 PM
LG_Closed_WLQ-Focus_of_Activity-IS_Description_and_Purpose, 8:52:15 PM, 8:52:25 PM
WL_Lecture-Focus_of_Activity-IS_Description_and_Purpose, 8:52:26 PM, 8:53:17 PM
WL_Lecture-Focus_of_Activity-Student_Experiences, 8:52:44 PM, 8:52:47 PM
WL_Lecture-Focus_of_Activity-FP_Pre_Workshop_Experiences, 8:52:59 PM, 8:53:01 PM
WL_Lecture-Focus_of_Activity-Workshop_Instructions, 8:53:18 PM, 8:53:46 PM
FP_Ind_Work-Focus_of_Activity-WL_Simulating_IS, 8:53:47 PM, 8:54:34 PM
FP_Ind_Work-Focus_of_Activity-Disciplinary_Content_Knowledge, 8:53:48 PM, 8:54:34 PM
WL_Lecture-Focus_of_Activity-Workshop_Instructions, 8:54:35 PM, 8:54:40 PM
WL_Lecture-Focus_of_Activity-Analyzing_Simulated_IS, 8:54:39 PM, 8:55:14 PM
WL_Lecture-Focus_of_Activity-WL_Pre_Workshop_Experiences, 8:54:45 PM, 8:55:14 PM
WL_Lecture-Focus_of_Activity-Student_Experiences, 8:54:56 PM, 8:55:06 PM
LG_Closed_WLQ-Focus_of_Activity-WL_Simulating_IS, 8:55:15 PM, 8:55:17 PM
LG_Closed_WLQ-Focus_of_Activity-Disciplinary_Content_Knowledge, 8:55:16 PM, 8:55:17 PM
SG_Discuss-Focus_of_Activity-WL_Simulating_IS, 8:55:18 PM, 8:56:48 PM
SG_Discuss-Focus_of_Activity-Disciplinary_Content_Knowledge, 8:55:19 PM, 8:56:48 PM
LG_Closed_WLQ-Focus_of_Activity-WL_Simulating_IS, 8:56:49 PM, 8:57:02 PM
LG_Closed_WLQ-Focus_of_Activity-Disciplinary_Content_Knowledge, 8:56:50 PM, 8:57:02 PM
WL_Lecture-Focus_of_Activity-Analyzing_Simulated_IS, 8:57:03 PM, 8:57:13 PM
WL_Lecture-Focus_of_Activity-WL_Pre_Workshop_Experiences, 8:57:04 PM, 8:57:12 PM
WL_Lecture-Focus_of_Activity-WL_Simulating_IS, 8:57:15 PM, 8:57:20 PM
WL_Lecture-Focus_of_Activity-Disciplinary_Content_Knowledge, 8:57:15 PM, 8:57:21 PM
WL_Lecture-Focus_of_Activity-Analyzing_Simulated_IS, 8:57:18 PM, 8:57:24 PM
WL_Lecture-Focus_of_Activity-WL_Simulating_IS, 8:57:24 PM, 8:58:13 PM
WL_Lecture-Focus_of_Activity-Disciplinary_Content_Knowledge, 8:57:25 PM, 8:58:13 PM
LG_Closed_WLQ-Focus_of_Activity-WL_Simulating_IS, 8:58:14 PM, 8:58:26 PM
LG_Closed_WLQ-Focus_of_Activity-Disciplinary_Content_Knowledge, 8:58:15 PM, 8:58:26 PM
WL_Lecture-Focus_of_Activity-Analyzing_Simulated_IS, 8:58:27 PM, 8:58:44 PM
WL_Lecture-Focus_of_Activity-WL_Pre_Workshop_Experiences, 8:58:31 PM, 8:58:44 PM
WL_Lecture-Focus_of_Activity-Student_Experiences, 8:58:36 PM, 8:58:44 PM
LG_Closed_FPQ-Focus_of_Activity-Disciplinary_Content_Knowledge, 8:58:47 PM, 8:58:54 PM
WL_Lecture-Focus_of_Activity-Analyzing_Simulated_IS, 8:58:56 PM, 8:59:06 PM
WL_Lecture-Focus_of_Activity-WL_Pre_Workshop_Experiences, 8:58:58 PM, 8:59:07 PM
WL_Lecture-Focus_of_Activity-Student_Experiences, 8:58:58 PM, 8:58:59 PM
